Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
1938,Dolph Camilli,Dodgers,146,629,24,106,100,6,18.90%,16.10%,0.234,0.271,0.251,0.393,0.485,0.402,139,0.9,30.6,-4.3,4.4,1001860
1990,Tony Phillips,Tigers,152,687,8,97,55,19,14.40%,12.40%,0.099,0.282,0.251,0.364,0.351,0.334,108,-0.1,6.2,14.2,4.4,1010300
2017,Freddie Freeman,Braves,117,514,28,84,71,8,12.60%,18.50%,0.28,0.335,0.307,0.403,0.586,0.407,150,0.8,33.8,-6.7,4.4,5361
2018,Andrew Benintendi,Red Sox,148,661,16,103,87,21,10.70%,16.00%,0.174,0.328,0.29,0.366,0.465,0.357,122,4.3,21.9,-1.5,4.4,17901
1953,Gil Hodges,Dodgers,141,598,31,101,122,1,12.50%,14.00%,0.248,0.311,0.302,0.393,0.55,0.419,140,-0.9,30.9,-6.4,4.4,1005883
1922,Wally Pipp,Yankees,152,664,9,96,90,7,8.40%,4.80%,0.137,0.338,0.329,0.392,0.466,0.396,124,-2.2,18.6,4.4,4.4,1010365
1992,Tony Gwynn,Padres,128,569,6,77,41,3,8.10%,2.80%,0.098,0.317,0.317,0.371,0.415,0.35,121,-1.9,10.9,13.2,4.4,1005166
2010,Michael Bourn,Astros,141,605,2,84,38,52,9.80%,18.00%,0.08,0.329,0.265,0.341,0.346,0.308,89,10.5,2.2,21.8,4.4,6387
1924,Topper Rigney,Tigers,147,633,4,81,94,11,16.10%,6.20%,0.118,0.307,0.289,0.41,0.407,0.389,116,-0.7,13,9,4.4,1010962
1978,Robin Yount,Brewers,127,545,9,66,71,16,4.40%,7.90%,0.135,0.303,0.293,0.323,0.428,0.336,111,1.3,7.8,15.6,4.4,1014396
1940,Terry Moore,Cardinals,136,585,17,92,64,18,7.20%,7.50%,0.171,0.307,0.304,0.356,0.475,0.375,121,3.3,18.5,7.2,4.4,1009128
1922,Bobby Veach,Tigers,155,704,9,96,126,9,6.00%,3.80%,0.141,0.332,0.327,0.377,0.468,0.387,119,3,20.5,1.3,4.4,1013388
1948,Richie Ashburn,Phillies,117,530,2,78,40,32,11.30%,4.20%,0.067,0.346,0.333,0.41,0.4,0.385,126,6.1,23.3,2.7,4.4,1000335
2012,Bryce Harper,Nationals,139,597,22,98,59,18,9.40%,20.10%,0.206,0.31,0.27,0.34,0.477,0.352,121,2.1,16.8,6.7,4.4,11579
1903,Danny Green,White Sox,135,568,6,75,62,29,8.30%,,0.116,,0.309,0.375,0.425,0.379,143,1.5,30.1,-6.6,4.4,1004988
1923,Aaron Ward,Yankees,152,640,10,79,82,8,8.80%,10.20%,0.138,0.307,0.284,0.351,0.422,0.36,103,-0.3,2.5,20.7,4.4,1013602
2002,Johnny Damon,Red Sox,154,702,14,118,63,31,9.30%,10.00%,0.157,0.301,0.286,0.356,0.443,0.348,110,6.3,15.2,4.4,4.4,185
1994,Paul O'Neill,Yankees,103,443,21,68,83,5,16.30%,12.60%,0.245,0.378,0.359,0.46,0.603,0.45,171,-0.7,41.1,-10.7,4.3,1009818
1923,Jimmy Johnston,Robins,151,693,4,111,60,16,7.60%,2.20%,0.101,0.328,0.325,0.378,0.426,0.375,114,-0.6,12.1,8.2,4.3,1006466
1915,Burt Shotton,Browns,156,685,1,93,30,43,17.20%,9.10%,0.077,0.317,0.283,0.409,0.36,0.381,135,-3.5,23,-7.5,4.3,1011933
2002,Junior Spivey,Diamondbacks,143,626,16,103,78,11,10.40%,16.00%,0.175,0.341,0.301,0.389,0.476,0.376,124,1.6,20.7,2.4,4.3,74
2004,Johnny Damon,Red Sox,150,702,20,123,94,19,10.80%,10.10%,0.172,0.317,0.304,0.38,0.477,0.372,123,6.9,27.6,-7,4.3,185
1907,George Davis,White Sox,132,534,1,59,52,15,8.80%,,0.049,,0.238,0.313,0.288,0.302,100,-0.5,-0.5,23.1,4.3,1003049
1904,Danny Green,White Sox,147,622,2,83,62,28,10.10%,,0.078,,0.265,0.352,0.343,0.339,127,1,18.7,0.8,4.3,1004988
1951,Pee Wee Reese,Dodgers,154,711,10,94,84,20,11.40%,8.00%,0.107,0.302,0.286,0.371,0.393,0.358,106,-1.1,4.5,14.5,4.3,1010776
1961,Roy Sievers,White Sox,141,563,27,76,92,1,10.80%,11.00%,0.242,0.29,0.295,0.377,0.537,0.396,141,0.4,29.9,-4.5,4.3,1011959
1935,Paul Waner,Pirates,139,623,11,98,78,2,9.80%,3.50%,0.157,0.32,0.321,0.392,0.477,0.396,133,0.2,26.3,-2.9,4.3,1013597
2002,Jose Vidro,Expos,152,681,19,103,96,2,8.80%,10.30%,0.175,0.33,0.315,0.378,0.49,0.377,127,3.8,26.9,-5.6,4.3,802
2011,Mark Teixeira,Yankees,156,684,39,90,111,4,11.10%,16.10%,0.246,0.239,0.248,0.341,0.494,0.361,124,0.9,20.4,-2.1,4.3,1281
2006,Jimmy Rollins,Phillies,158,758,25,127,83,36,7.50%,10.60%,0.2,0.281,0.277,0.334,0.478,0.346,103,4.8,7.6,12,4.3,971
1997,John Valentin,Red Sox,143,644,18,95,77,7,9.00%,10.20%,0.193,0.319,0.306,0.372,0.499,0.377,124,-0.3,19.1,2.5,4.3,1375
1982,Bobby Grich,Angels,145,605,19,74,65,3,13.60%,18.00%,0.188,0.297,0.261,0.371,0.449,0.367,127,-0.6,19,3.1,4.3,1005033
1971,Davey Johnson,Orioles,142,574,18,67,72,3,8.90%,9.60%,0.161,0.286,0.282,0.351,0.443,0.358,125,0.3,16.4,5.3,4.3,1006440
2012,Dustin Pedroia,Red Sox,141,623,15,81,65,20,7.70%,9.60%,0.16,0.3,0.29,0.347,0.449,0.344,114,0.1,10.1,10.1,4.3,8370
1954,Red Schoendienst,Cardinals,148,679,5,98,79,4,8.00%,3.20%,0.113,0.316,0.315,0.366,0.428,0.362,106,0.6,5.5,15.4,4.3,1011600
2004,Jack Wilson,Pirates,157,693,11,82,59,8,3.80%,10.20%,0.15,0.33,0.308,0.335,0.459,0.341,103,3.3,6.2,14.9,4.3,1017
1915,Jack Tobin,Terriers,158,716,6,92,51,31,9.50%,5.90%,0.112,0.308,0.294,0.366,0.406,0.373,123,5.7,23.7,-4,4.3,1013088
2017,Gary Sanchez,Yankees,122,525,33,79,90,2,7.60%,22.90%,0.253,0.304,0.278,0.345,0.531,0.368,129,-1.4,17.6,7.8,4.3,11442
1945,Nick Etten,Yankees,152,663,18,77,111,2,13.60%,3.50%,0.152,0.273,0.285,0.387,0.437,0.393,140,-1.2,28.4,-8.6,4.3,1003848
1952,Bobby Thomson,Giants,153,666,24,89,108,5,7.80%,11.10%,0.212,0.275,0.27,0.331,0.482,0.37,121,0.8,17,1.7,4.3,1013032
2001,Juan Gonzalez,Indians,140,595,35,97,140,1,6.90%,15.80%,0.265,0.329,0.325,0.37,0.59,0.397,145,0.2,34.1,-10.3,4.3,1251
2000,Jose Vidro,Expos,153,663,24,101,97,5,7.40%,10.40%,0.21,0.339,0.33,0.379,0.54,0.391,129,-0.8,25.4,-0.8,4.3,802
1940,Barney McCosky,Tigers,143,660,4,123,57,13,10.20%,6.20%,0.151,0.36,0.34,0.408,0.491,0.407,125,-1.6,20.9,-0.9,4.3,1008422
1910,Rube Oldring,Athletics,134,594,4,79,57,17,3.90%,,0.123,,0.308,0.34,0.43,0.371,140,-0.6,23.5,-2.4,4.3,1009764
1978,Eddie Murray,Orioles,161,690,27,85,95,6,10.10%,14.10%,0.195,0.298,0.285,0.356,0.48,0.371,138,-0.6,28.5,-10.6,4.3,1009386
1965,Deron Johnson,Reds,159,680,32,92,130,0,7.60%,14.30%,0.227,0.292,0.287,0.34,0.515,0.37,130,-1.5,21.9,-5.1,4.3,1006444
1981,Dwayne Murphy,Athletics,107,477,15,58,60,10,15.30%,19.10%,0.156,0.288,0.251,0.369,0.408,0.356,132,0.5,16.8,8.9,4.3,1009359
1986,Pete O'Brien,Rangers,156,641,23,86,90,4,13.60%,10.30%,0.178,0.295,0.29,0.385,0.468,0.375,129,-0.9,21.7,-0.8,4.3,1009700
1915,Mike Mowrey,Rebels,151,613,1,56,49,40,10.80%,6.40%,0.079,0.301,0.28,0.367,0.359,0.356,115,7.6,18.2,3.7,4.3,1009271
1944,Johnny Barrett,Pirates,149,661,7,99,83,28,13.00%,8.50%,0.146,0.289,0.269,0.366,0.415,0.369,117,5.2,18,2.9,4.3,1000597
1991,Roberto Alomar,Blue Jays,161,719,9,88,69,53,7.90%,12.00%,0.141,0.327,0.295,0.354,0.436,0.353,117,6.2,21,-3.1,4.3,860
1966,Bill White,Phillies,159,659,22,85,103,16,10.30%,16.50%,0.175,0.304,0.276,0.352,0.451,0.349,121,1.3,17.6,0.6,4.3,1013855
2010,Adrian Gonzalez,Padres,160,693,31,87,101,0,13.40%,16.50%,0.213,0.322,0.298,0.393,0.511,0.379,142,-1.9,33.3,-12.2,4.3,1908
1964,Jimmie Hall,Twins,149,562,25,61,75,5,7.80%,19.90%,0.198,0.315,0.282,0.338,0.48,0.359,123,0.4,15.3,10,4.3,1005253
1933,Paul Waner,Pirates,154,694,7,101,70,3,8.60%,2.90%,0.147,0.311,0.309,0.372,0.456,0.381,135,0.5,28.3,-6.7,4.3,1013597
2015,Todd Frazier,Reds,157,678,35,82,89,13,6.50%,20.20%,0.242,0.271,0.255,0.309,0.498,0.342,116,-0.5,12,7.8,4.3,785
1911,Fred Merkle,Giants,149,604,12,80,84,49,7.10%,9.90%,0.148,0.301,0.283,0.342,0.431,0.367,114,5.6,16.4,6.4,4.3,1008783
1953,Ted Kluszewski,Reds,149,629,40,97,108,2,8.70%,5.40%,0.254,0.282,0.316,0.38,0.57,0.42,140,1,34.2,-11.1,4.3,1007020
2015,Russell Martin,Blue Jays,129,507,23,76,77,4,10.50%,20.90%,0.218,0.262,0.24,0.329,0.458,0.34,115,-4.5,4.1,20,4.3,4616
1988,Gary Gaetti,Twins,133,516,28,66,88,7,7.00%,16.50%,0.25,0.313,0.301,0.353,0.551,0.395,144,-0.5,25.8,-2.9,4.3,1004422
1914,Joe Jackson,Naps,122,512,3,61,53,22,8.00%,6.60%,0.126,0.361,0.338,0.399,0.464,0.411,153,-2.9,26.1,-7.1,4.3,1006301
1951,Willie Jones,Phillies,148,647,22,79,81,6,9.30%,7.30%,0.184,0.281,0.285,0.358,0.47,0.378,123,0.9,19.1,1.8,4.3,1006601
1970,Jimmy Wynn,Astros,157,668,27,82,88,24,15.90%,14.40%,0.211,0.295,0.282,0.394,0.493,0.39,136,3.1,33.2,-15.1,4.3,1014313
1978,Dave Winfield,Padres,158,649,24,88,97,21,8.50%,12.50%,0.191,0.322,0.308,0.367,0.499,0.378,144,0.8,33,-14.8,4.3,1014127
2012,Joe Mauer,Twins,147,641,10,81,85,8,14.00%,13.70%,0.127,0.364,0.319,0.416,0.446,0.376,138,-1.6,27.2,-7.8,4.3,1857
2003,Jim Thome,Phillies,159,698,47,111,131,0,15.90%,26.10%,0.306,0.302,0.266,0.385,0.573,0.401,145,-2,38.7,-17.7,4.3,409
1919,Milt Stock,Cardinals,135,560,0,56,52,17,8.80%,3.80%,0.049,0.321,0.307,0.371,0.356,0.351,123,-0.1,12.7,10.8,4.3,1012551
1924,Roger Peckinpaugh,Senators,155,615,2,72,73,9,11.70%,7.30%,0.069,0.294,0.272,0.36,0.34,0.337,88,0.9,-8.7,30.6,4.3,1010116
1949,Roy Campanella,Dodgers,130,507,22,65,82,3,13.20%,7.10%,0.211,0.272,0.287,0.385,0.498,0.407,134,0.5,21.8,4.9,4.3,1001871
1941,Ken Keltner,Indians,149,644,23,83,84,2,7.90%,8.70%,0.217,0.265,0.269,0.33,0.485,0.371,112,-0.7,9.3,10,4.3,1006821
1966,Boog Powell,Orioles,140,565,34,78,109,0,11.90%,22.10%,0.244,0.319,0.287,0.372,0.532,0.391,157,-1.2,34.4,-10.9,4.3,1010482
1924,George Grantham,Cubs,127,539,12,85,60,21,10.20%,11.70%,0.143,0.345,0.316,0.39,0.458,0.394,129,-3.3,16.2,9.8,4.3,1004947
1963,Tony Taylor,Phillies,157,700,5,102,49,23,6.00%,14.10%,0.086,0.324,0.281,0.33,0.367,0.313,105,1.5,5.4,10.7,4.3,1012892
1980,Dusty Baker,Dodgers,153,638,29,80,97,12,6.70%,10.30%,0.209,0.284,0.294,0.339,0.503,0.368,136,-1.6,24.1,-2.9,4.3,1000450
1950,Dom DiMaggio,Red Sox,141,681,7,131,70,15,12.00%,10.00%,0.124,0.363,0.328,0.414,0.452,0.4,117,1,16.9,3.1,4.3,1003310
1918,Art Fletcher,Giants,124,513,0,51,47,12,3.50%,5.10%,0.051,0.278,0.263,0.311,0.314,0.309,94,-0.3,-3.2,27.7,4.3,1004149
1902,Socks Seybold,Athletics,137,579,16,91,97,6,7.40%,,0.19,,0.316,0.375,0.506,0.413,133,-2.6,23.3,-2.3,4.3,1011775
1939,Max West,Bees,130,513,19,67,82,1,9.90%,10.70%,0.212,0.291,0.285,0.364,0.497,0.39,135,0,22.5,5.7,4.3,1013809
2015,Adrian Beltre,Rangers,143,619,18,83,83,1,6.60%,10.50%,0.166,0.295,0.287,0.334,0.453,0.337,109,4,10.6,9.8,4.3,639
1942,Chet Laabs,Browns,144,614,27,90,99,0,14.30%,14.30%,0.223,0.286,0.275,0.38,0.498,0.411,140,-1.5,27.8,-9.2,4.3,1007229
1990,Rafael Palmeiro,Rangers,154,651,14,72,89,3,6.10%,9.10%,0.149,0.332,0.319,0.361,0.468,0.365,130,-0.9,21.2,-0.3,4.3,1266
1963,Tom Tresh,Yankees,145,614,25,91,71,3,13.50%,12.90%,0.217,0.273,0.269,0.371,0.487,0.377,141,-0.3,28.5,-6.4,4.3,1013179
1977,Hal McRae,Royals,162,720,21,104,92,18,8.20%,6.00%,0.217,0.292,0.298,0.366,0.515,0.383,137,-1.6,30.2,-12.3,4.3,1008687
1904,Jake Beckley,Cardinals,142,610,1,72,67,17,5.70%,,0.078,,0.325,0.375,0.403,0.372,137,-1.3,23.5,-6.4,4.3,1000754
1950,Vern Stephens,Red Sox,149,693,30,125,144,1,9.40%,6.20%,0.217,0.279,0.295,0.361,0.511,0.391,111,0,10.7,9,4.3,1012501
1929,Lu Blue,Browns,151,712,6,111,61,12,17.70%,4.50%,0.136,0.303,0.293,0.422,0.429,0.399,121,-0.7,19.9,-0.5,4.3,1001093
1979,Steve Kemp,Tigers,134,570,26,88,105,5,11.90%,12.30%,0.224,0.323,0.318,0.398,0.543,0.411,149,-1.2,33,-9.9,4.3,1006827
1999,Pokey Reese,Reds,149,636,10,85,52,38,5.50%,12.70%,0.132,0.315,0.285,0.33,0.417,0.326,85,4.4,-8.1,31,4.3,1004
1974,Greg Gross,Astros,156,676,0,78,36,12,11.20%,5.80%,0.063,0.336,0.314,0.393,0.377,0.358,124,-5,13.8,5.8,4.3,1005086
1914,Art Fletcher,Giants,135,569,2,62,79,15,3.90%,6.50%,0.093,0.305,0.286,0.332,0.379,0.342,112,1.3,8.8,14.3,4.3,1004149
1923,Jim Bottomley,Cardinals,134,587,8,79,94,4,7.70%,7.50%,0.164,0.395,0.371,0.425,0.535,0.44,153,-0.2,40.5,-16.6,4.3,1001228
2002,Carlos Delgado,Blue Jays,143,628,33,103,108,1,16.20%,20.10%,0.271,0.302,0.277,0.406,0.549,0.401,145,-3.5,31.1,-9.5,4.3,1297
1938,Frankie Crosetti,Yankees,157,757,9,113,55,27,14.00%,12.80%,0.108,0.299,0.263,0.382,0.371,0.36,98,-0.2,-2.3,17.7,4.3,1002802
1914,Red Smith,- - -,150,625,7,69,85,15,9.30%,8.00%,0.123,0.29,0.272,0.346,0.395,0.358,116,1.1,11.8,9.6,4.3,1012197
1954,Granny Hamner,Phillies,152,660,13,83,89,1,8.00%,6.70%,0.168,0.301,0.299,0.351,0.466,0.367,111,-0.1,9.3,11.7,4.3,1005286
1930,Chick Hafey,Cardinals,120,515,26,108,107,12,8.90%,9.90%,0.316,0.336,0.336,0.407,0.652,0.451,144,2.4,37.9,-7,4.3,1005191
1982,Hal McRae,Royals,159,676,27,91,133,4,8.10%,9.00%,0.233,0.307,0.308,0.369,0.542,0.397,147,-0.8,36.7,-17.1,4.3,1008687
1987,Jesse Barfield,Blue Jays,159,654,28,89,84,3,8.90%,21.60%,0.195,0.3,0.263,0.331,0.458,0.34,105,-1.8,2.4,18.6,4.3,1000537
1962,Norm Cash,Tigers,148,629,39,94,89,6,16.50%,13.00%,0.27,0.215,0.243,0.382,0.513,0.389,135,0.1,27.7,-3.8,4.3,1002043
1988,Eric Davis,Reds,135,543,26,81,93,35,12.00%,22.80%,0.216,0.317,0.273,0.363,0.489,0.374,141,5.4,29.7,-7.2,4.3,1003048
1924,Baby Doll Jacobson,Browns,152,642,19,103,97,6,5.50%,7.00%,0.211,0.32,0.318,0.361,0.528,0.402,118,-0.9,14.6,6.2,4.3,1006316
1989,Mark McGwire,Athletics,143,587,33,74,95,1,14.10%,16.00%,0.237,0.214,0.231,0.339,0.467,0.358,131,-0.4,20,1.3,4.3,1008559
1972,Darrell Evans,Braves,125,521,19,67,71,4,17.30%,11.10%,0.165,0.249,0.254,0.384,0.419,0.368,125,0.2,14.4,6,4.3,1003864
1975,Mark Belanger,Orioles,152,502,3,44,27,16,7.20%,10.60%,0.05,0.251,0.226,0.286,0.276,0.267,66,1.7,-17.2,43.7,4.3,1000786
2000,Bobby Higginson,Tigers,154,679,30,104,102,15,10.90%,14.60%,0.238,0.316,0.3,0.377,0.538,0.389,131,1.7,30.5,-8.5,4.3,469
1972,Rod Carew,Twins,142,591,0,61,51,12,7.30%,10.20%,0.062,0.356,0.318,0.369,0.379,0.338,120,0.4,12.4,9.2,4.3,1001942
2008,Josh Hamilton,Rangers,156,704,32,98,130,9,9.10%,17.90%,0.226,0.333,0.304,0.371,0.53,0.384,132,7.1,34.6,-16.1,4.3,1875
1923,Joe Harris,Red Sox,142,553,13,82,76,7,9.40%,4.90%,0.184,0.336,0.335,0.406,0.52,0.424,140,1.6,30.9,-5.1,4.3,1005421
2011,Peter Bourjos,Angels,147,552,12,72,43,22,5.80%,22.50%,0.167,0.338,0.271,0.327,0.438,0.335,114,4.3,13,9.2,4.3,2578
1949,Larry Doby,Indians,147,650,24,106,85,10,14.00%,13.80%,0.188,0.298,0.28,0.389,0.468,0.399,130,-1.9,23.1,-2.3,4.3,1003346
1916,Happy Felsch,White Sox,146,593,7,73,70,13,5.20%,11.30%,0.126,0.333,0.3,0.341,0.427,0.369,127,0.8,17.9,1.5,4.3,1003977
1980,Eddie Murray,Orioles,158,683,32,100,116,7,7.90%,10.40%,0.219,0.294,0.3,0.354,0.519,0.381,138,0.5,31.3,-13.5,4.3,1009386
1952,Bobby Avila,Indians,150,684,7,102,45,12,9.80%,5.30%,0.116,0.31,0.3,0.371,0.415,0.366,123,-0.7,17.7,0.6,4.3,1000380
1989,Darryl Strawberry,Mets,134,541,29,69,77,11,11.30%,19.40%,0.242,0.226,0.225,0.312,0.466,0.34,121,0.5,12.9,11.4,4.3,1012606
1973,Bert Campaneris,Athletics,151,671,4,89,46,34,7.50%,11.80%,0.068,0.278,0.25,0.308,0.318,0.289,83,3.2,-9.5,28.7,4.3,1001868
1990,Kelly Gruber,Blue Jays,150,662,31,92,118,14,7.30%,14.20%,0.238,0.273,0.274,0.33,0.512,0.367,130,1.8,24.5,-5,4.3,1005107
1974,Cesar Geronimo,Reds,150,530,7,73,54,9,8.70%,18.10%,0.114,0.337,0.281,0.345,0.395,0.333,107,0,4.2,20.5,4.3,1004639
1988,Kent Hrbek,Twins,143,586,25,75,76,0,11.40%,9.20%,0.208,0.306,0.312,0.387,0.52,0.398,146,-1.6,29.8,-9.1,4.3,1006117
1901,Danny Green,Orphans,133,586,6,82,61,31,6.80%,,0.108,,0.313,0.364,0.421,0.369,127,1.7,22.9,0.7,4.3,1004988
2006,Jorge Posada,Yankees,143,545,23,65,93,3,11.70%,17.80%,0.215,0.303,0.277,0.374,0.492,0.373,125,-4.6,13.1,12.4,4.3,841
1913,Jake Daubert,Superbas,139,572,2,76,52,25,7.70%,7.00%,0.073,0.378,0.35,0.405,0.423,0.398,134,-0.3,22.3,-2.3,4.3,1003005
1952,Minnie Minoso,White Sox,147,668,13,96,61,22,10.60%,6.90%,0.142,0.288,0.281,0.375,0.424,0.373,124,-1.1,17.5,2,4.3,1008984
1977,Ron Cey,Dodgers,153,669,30,77,110,3,13.90%,15.80%,0.209,0.244,0.241,0.347,0.45,0.351,116,-0.5,12.5,7.7,4.3,1002108
2011,Hunter Pence,- - -,154,668,22,84,97,8,8.40%,18.60%,0.188,0.361,0.314,0.37,0.502,0.377,140,0.7,31.3,-11,4.3,8252
1910,Larry Doyle,Giants,151,670,8,97,69,39,10.60%,3.90%,0.127,0.288,0.285,0.369,0.412,0.381,125,2.5,21.6,-7,4.3,1003467
1910,Joe Tinker,Cubs,134,515,3,48,69,20,4.70%,6.80%,0.11,0.306,0.288,0.322,0.397,0.347,106,0.7,4.5,17.1,4.3,1013075
1927,Pie Traynor,Pirates,149,633,5,93,106,11,3.50%,1.70%,0.113,0.343,0.342,0.37,0.455,0.38,116,1.7,14.3,8.9,4.3,1013165
2013,Ian Desmond,Nationals,158,655,20,77,80,21,6.60%,22.10%,0.173,0.336,0.28,0.331,0.453,0.341,116,1.6,13.1,7,4.3,6885
2008,Ichiro Suzuki,Mariners,162,749,6,103,42,43,6.80%,8.70%,0.076,0.334,0.31,0.361,0.386,0.328,102,10.3,11.9,4.9,4.3,1101
1989,Steve Sax,Yankees,158,717,5,88,63,43,7.30%,6.10%,0.072,0.329,0.315,0.364,0.387,0.341,114,1.7,13.4,2.6,4.3,1011481
1959,Sherm Lollar,White Sox,140,576,22,63,84,4,9.50%,8.50%,0.186,0.255,0.265,0.345,0.451,0.35,118,-0.2,12.5,12.6,4.3,1007714
1997,Alex Rodriguez,Mariners,141,638,23,100,84,29,6.40%,15.50%,0.196,0.328,0.3,0.35,0.496,0.368,119,3.3,18.8,2.5,4.3,1274
2013,Starling Marte,Pirates,135,566,12,83,35,41,4.40%,24.40%,0.161,0.363,0.28,0.343,0.441,0.344,122,8.5,22.8,-0.1,4.3,9241
1924,Ken Williams,Browns,114,479,18,78,84,20,14.40%,3.50%,0.209,0.306,0.324,0.425,0.533,0.439,139,0.7,26.2,0.3,4.3,1014012
1914,Joe Tinker,Chi-Feds,126,500,2,50,46,19,7.60%,6.00%,0.094,0.271,0.256,0.317,0.349,0.323,95,2.4,-0.6,24.7,4.3,1013075
1999,Carlos Beltran,Royals,156,723,22,112,108,27,6.40%,17.00%,0.161,0.326,0.293,0.337,0.454,0.343,95,1.8,-3.5,22.1,4.3,589
2011,Carlos Beltran,- - -,142,598,22,78,84,4,11.90%,14.70%,0.225,0.324,0.3,0.385,0.525,0.391,152,0.6,36.8,-14.5,4.3,589
1901,Ginger Beaumont,Pirates,133,616,8,120,72,36,7.10%,,0.086,,0.332,0.382,0.418,0.379,129,2.1,25.9,-3.3,4.3,1000733
1939,Luke Appling,White Sox,148,630,0,82,56,16,16.70%,5.90%,0.054,0.338,0.314,0.43,0.368,0.385,114,-1.1,10.9,10.1,4.3,1000284
2016,Anthony Rendon,Nationals,156,647,20,91,85,12,10.00%,18.10%,0.18,0.304,0.27,0.348,0.45,0.342,110,3.2,11.4,10.3,4.3,12861
1930,Lefty O'Doul,Phillies,140,606,22,122,97,3,10.40%,3.50%,0.222,0.371,0.383,0.453,0.604,0.464,142,0.5,40.7,-12.7,4.3,1009734
1973,Ron Fairly,Expos,142,505,17,70,49,2,17.00%,6.50%,0.16,0.292,0.298,0.422,0.458,0.397,144,-0.1,25.5,-0.9,4.3,1003907
1955,Carl Furillo,Dodgers,140,578,26,83,95,4,7.40%,7.40%,0.207,0.301,0.314,0.371,0.52,0.392,131,-0.7,21.7,4.1,4.3,1004409
1964,Roger Maris,Yankees,141,584,26,86,71,3,10.60%,13.40%,0.183,0.287,0.281,0.364,0.464,0.369,134,0.8,23.9,-0.1,4.3,1008110
1989,Terry Pendleton,Cardinals,162,661,13,83,74,9,6.70%,12.30%,0.126,0.286,0.264,0.313,0.39,0.316,101,-0.4,0.7,20,4.3,1010157
1910,Clyde Milan,Senators,142,624,0,89,16,44,11.40%,,0.055,,0.279,0.379,0.333,0.357,132,3.1,23.1,-3.5,4.3,1008856
1991,Jeff Bagwell,Astros,156,650,15,79,82,7,11.50%,17.80%,0.143,0.344,0.294,0.387,0.437,0.37,138,-0.2,27.9,-8.1,4.3,547
1982,Rod Carew,Angels,138,612,3,88,44,10,10.90%,8.00%,0.084,0.345,0.319,0.396,0.403,0.361,123,-4.7,12.3,10,4.3,1001942
1992,Paul Molitor,Brewers,158,701,12,89,89,31,10.40%,9.40%,0.141,0.338,0.32,0.389,0.461,0.377,137,3.7,32.9,-15.6,4.3,1009040
1980,Alan Trammell,Tigers,146,652,9,107,65,12,10.60%,9.70%,0.104,0.321,0.3,0.376,0.404,0.354,115,-2.4,9.2,9.7,4.3,1013157
2005,Jhonny Peralta,Indians,141,570,24,82,78,0,10.20%,22.50%,0.228,0.346,0.292,0.366,0.52,0.378,136,-1.8,23,0.3,4.3,1738
2009,Marco Scutaro,Blue Jays,144,680,12,100,60,14,13.20%,11.00%,0.127,0.304,0.282,0.379,0.409,0.353,112,2.8,12.9,5.7,4.3,1555
2008,Milton Bradley,Rangers,126,510,22,78,77,5,15.70%,22.00%,0.242,0.388,0.321,0.436,0.563,0.424,159,-3.4,33.6,-8.6,4.3,369
2011,Cameron Maybin,Padres,137,568,9,82,40,40,7.70%,22.00%,0.13,0.331,0.264,0.323,0.393,0.316,105,9.7,12.8,10.4,4.3,5223
2015,Kevin Kiermaier,Rays,151,535,10,62,40,18,4.50%,17.80%,0.156,0.306,0.263,0.298,0.42,0.309,97,3.9,2.1,20.6,4.3,11038
1925,Johnny Mostil,White Sox,153,716,2,135,50,43,12.60%,7.30%,0.122,0.325,0.299,0.4,0.421,0.385,114,1.4,15.6,4.2,4.3,1009255
1974,Amos Otis,Royals,146,632,12,87,73,18,9.20%,10.60%,0.154,0.299,0.284,0.348,0.438,0.354,122,1.8,16.7,3.1,4.3,1009893
1985,Willie Randolph,Yankees,143,597,5,75,40,16,14.20%,6.50%,0.08,0.288,0.276,0.382,0.356,0.339,111,-0.6,7.5,14.3,4.3,1010694
1915,Les Mann,Whales,135,516,4,74,58,18,7.00%,7.80%,0.132,0.329,0.306,0.357,0.438,0.38,135,3.2,23.3,1.6,4.3,1008073
1913,Vic Saier,Cubs,149,600,14,94,92,26,10.30%,10.30%,0.191,0.307,0.289,0.37,0.48,0.402,138,0.7,27.8,-9.6,4.3,1011372
1923,Jigger Statz,Cubs,154,722,10,110,70,29,7.80%,5.80%,0.121,0.33,0.319,0.375,0.44,0.38,114,-2.3,11,7.2,4.3,1012439
1989,Bobby Bonilla,Pirates,163,698,24,96,86,8,10.90%,13.30%,0.209,0.296,0.281,0.358,0.49,0.369,140,-1.8,28.5,-11.5,4.3,1001168
1986,Frank White,Royals,151,620,22,76,84,4,6.90%,14.20%,0.193,0.285,0.272,0.322,0.465,0.342,109,-0.8,5.7,15.4,4.3,1013872
1970,Don Buford,Orioles,144,629,17,99,66,16,17.30%,8.70%,0.139,0.275,0.272,0.406,0.411,0.372,131,0.3,23.7,-2,4.3,1001636
2017,Lorenzo Cain,Royals,155,645,15,86,49,26,8.40%,15.50%,0.14,0.34,0.3,0.363,0.44,0.347,115,3.5,15.4,5.2,4.3,9077
1995,Ray Lankford,Cardinals,132,553,25,81,82,24,11.40%,19.90%,0.236,0.309,0.277,0.36,0.513,0.375,128,1.2,21,3.9,4.3,1044
